[10, 20, 32, 46, 62, 80, 100, 122, 146, 172, 200, 230, 262, 296, 332, 370, 410, 452, 496, 542, 590, 640, 692, 746, 802, 860, 920, 982, 1046, 1112, 1180, 1250, 1322, 1396, 1472, 1550, 1630, 1712, 1796, 1882, 1970, 2060, 2152, 2246, 2342, 2440, 2540, 2642, 2746, 2852]
[5, 8, 11, 14, 17, 20, 23, 26, 29, 32, 35, 38, 41, 44, 47, 50, 53, 56, 59, 62, 65, 68, 71, 74, 77, 80, 83, 86, 89, 92, 95, 98, 101, 104, 107, 110, 113, 116, 119, 122, 125, 128, 131, 134, 137, 140, 143, 146, 149, 152]
[1, 4, 9, 16, 25, 36, 49, 64, 81, 100, 121, 144, 169, 196, 225, 256, 289, 324, 361, 400, 441, 484, 529, 576, 625, 676, 729, 784, 841, 900, 961, 1024, 1089, 1156, 1225, 1296, 1369, 1444, 1521, 1600, 1681, 1764, 1849, 1936, 2025, 2116, 2209, 2304, 2401, 2500]
[1, 8, 27, 64, 125, 216, 343, 512, 729, 1000, 1331, 1728, 2197, 2744, 3375, 4096, 4913, 5832, 6859, 8000, 9261, 10648, 12167, 13824, 15625, 17576, 19683, 21952, 24389, 27000, 29791, 32768, 35937, 39304, 42875, 46656, 50653, 54872, 59319, 64000, 68921, 74088, 79507, 85184, 91125, 97336, 103823, 110592, 117649, 125000]
[1, 32, 243, 1024, 3125, 7776, 16807, 32768, 59049, 100000, 161051, 248832, 371293, 537824, 759375, 1048576, 1419857, 1889568, 2476099, 3200000, 4084101, 5153632, 6436343, 7962624, 9765625, 11881376, 14348907, 17210368, 20511149, 24300000, 28629151, 33554432, 39135393, 45435424, 52521875, 60466176, 69343957, 79235168, 90224199, 102400000, 115856201, 130691232, 147008443, 164916224, 184528125, 205962976, 229345007, 254803968, 282475249, 312500000]
[14, 28, 58, 110, 190, 304, 458, 658, 910, 1220, 1594, 2038, 2558, 3160, 3850, 4634, 5518, 6508, 7610, 8830, 10174, 11648, 13258, 15010, 16910, 18964, 21178, 23558, 26110, 28840, 31754, 34858, 38158, 41660, 45370, 49294, 53438, 57808, 62410, 67250, 72334, 77668, 83258, 89110, 95230, 101624, 108298, 115258, 122510, 130060]
[10, 9, 26, 103, 306, 725, 1474, 2691, 4538, 7201, 10890, 15839, 22306, 30573, 40946, 53755, 69354, 88121, 110458, 136791, 167570, 203269, 244386, 291443, 344986, 405585, 473834, 550351, 635778, 730781, 836050, 952299, 1080266, 1220713, 1374426, 1542215, 1724914, 1923381, 2138498, 2371171, 2622330, 2892929, 3183946, 3496383, 3831266, 4189645, 4572594, 4981211, 5416618, 5879961]
[0.8414709848078965, 0.9092974268256817, 0.1411200080598672, -0.7568024953079282, -0.9589242746631385, -0.27941549819892586, 0.6569865987187891, 0.9893582466233818, 0.4121184852417566, -0.5440211108893698, -0.9999902065507035, -0.5365729180004349, 0.4201670368266409, 0.9906073556948704, 0.6502878401571168, -0.2879033166650653, -0.9613974918795568, -0.7509872467716762, 0.14987720966295234, 0.9129452507276277, 0.8366556385360561, -0.008851309290403876, -0.8462204041751706, -0.9055783620066238, -0.13235175009777303, 0.7625584504796027, 0.956375928404503, 0.27090578830786904, -0.6636338842129675, -0.9880316240928618, -0.404037645323065, 0.5514266812416906, 0.9999118601072672, 0.5290826861200238, -0.428182669496151, -0.9917788534431158, -0.6435381333569995, 0.2963685787093853, 0.9637953862840878, 0.7451131604793488, -0.158622668804709, -0.9165215479156338, -0.8317747426285983, 0.017701925105413577, 0.8509035245341184, 0.9017883476488092, 0.123573122745224, -0.7682546613236668, -0.9537526527594719, -0.26237485370392877]
[0.5403023058681397, -0.4161468365471424, -0.9899924966004454, -0.6536436208636119, 0.28366218546322625, 0.960170286650366, 0.7539022543433046, -0.14550003380861354, -0.9111302618846769, -0.8390715290764524, 0.004425697988050785, 0.8438539587324921, 0.9074467814501962, 0.1367372182078336, -0.7596879128588213, -0.9576594803233847, -0.27516333805159693, 0.6603167082440802, 0.9887046181866692, 0.408082061813392, -0.5477292602242684, -0.9999608263946371, -0.5328330203333975, 0.424179007336997, 0.9912028118634736, 0.6469193223286404, -0.2921388087338362, -0.9626058663135666, -0.7480575296890004, 0.15425144988758405, 0.9147423578045313, 0.8342233605065102, -0.013276747223059479, -0.8485702747846052, -0.9036922050915067, -0.12796368962740468, 0.7654140519453433, 0.9550736440472949, 0.26664293235993725, -0.6669380616522619, -0.9873392775238264, -0.39998531498835127, 0.5551133015206257, 0.9998433086476912, 0.5253219888177297, -0.4321779448847783, -0.9923354691509287, -0.6401443394691997, 0.3005925437436371, 0.9649660284921133]
[104, 196, 676, 2180, 5800, 13204, 26756, 49636, 85960, 140900, 220804, 333316, 487496, 693940, 964900, 1314404, 1758376, 2314756, 3003620, 3847300, 4870504, 6100436, 7566916, 9302500, 11342600, 13725604, 16492996, 19689476, 23363080, 27565300, 32351204, 37779556, 43912936, 50817860, 58564900, 67228804, 76888616, 87627796, 99534340, 112700900, 127224904, 143208676, 160759556, 179990020, 201017800, 223966004, 248963236, 276143716, 305647400, 337620100]
